object	seq	name	mp1	mp2	mp3	mp4	mp5	mp6	mp7	mp8	mp9	det_box	progobj	post	bret	mp10	dec_pl
563200	651	Cap exp - inventory - capital projects -	E	56	563		BUEXP	CAPITAL						1	E		
563300	652	Cap exp - construction - cap projects -	E	56	563		BUEXP	CAPITAL						1	E		
563310	653	Capex - vehicle and equip - CP - all bases	E	56	563		BUEXP	CAPITAL						1	E		0
563400	654	Capitalized interest (enterprise only)	E	56	563		BUEXP	CAPITAL						1	E		
563500	655	Capitalized Interest	E	56	563		BUEXP	CAPITAL						1	E		
563510	656	Capitalized Interest BES - sys generated	E	56	563		BUEXP	CAPITAL						1	E		
563520	657	Capitalized Int Water - sys generated	E	56	563		BUEXP	CAPITAL						1	E		
563600	658	Capital Interest on overhead	E	56	563		BUEXP	CAPITAL						1	E		
563620	659	Capitalized Int on OH - Water sys gen	E	56	563		BUEXP	CAPITAL						1	E		
564	128	CIP Capitalization Corrections												0	E		
564100	660	Non-capital CIP	E	56	564		BUEXP	CAPITAL						1	E		
565	129	Depreciation And Amortization												0	E		
569	130	GAAP Losses From Asset Sales												0	E		
57	85	Contingency												0	E		
571	131	Contingency													E		
571100	661	Unrestricted Contingency	E	57	571		FUEXP	CONT						1	E		
571110	662	Salary Adjustment Contingency	E	57	571		FUEXP	CONT						1	E		
571120	663	Rate Stabilization Contingency	E	57	571		FUEXP	CONT						1	E		
571130	664	Policy Reserves	E	57	571		FUEXP	CONT						1	E		
571140	665	Major Maintenance/Replacement Reserves	E	57	571		FUEXP	CONT						1	E		
58	86	Miscellaneous Expenses												0	E		
580	132	Miscellaneous Expenses												0	E		
580000	666	DNU  Proceeds Disbursement - Modified Ac	E	58	580		BUEXP	EMS						1	E		
580100	667	Internal loan remittances	E	58	580		FUEXP	BOND						1	E		
581	133	Grants Related												0	E		
581100	668	Grant IDC expenses	E	58	581		BUEXP	EMS						1	E		
581500	669	Loans transferred through grants	E	58	581		FUEXP	BOND						1	E		
589	134	Temporary Expense Conversion												0	E		
589951	670	DNU - Temporary - zero bal expenses conv	E	59	589		FUEXP	CONT						1	E		
589952	671	Temp - zero bal interagency exp conversi	E	59	589		FUEXP	FNDXFER						1	E		0
589953	672	Temporary - payroll expense conv	E	59	589		BUEXP	PERSONAL						1	E		0
589955	673	Temporary - capital asset expense conver	E	59	589		BUEXP	CAPITAL						1	E		
589960	674	Interagency expense conversion	E	59	589		BUEXP	IMS						1	E		
589961	675	I/A General Fund overhead exp conversion	E	59	589		FUEXP	FNDXFER						1	E		
589962	676	I/A equipment cash transfers exp convers	E	59	589		BUEXP	IMS						1	E		
589963	677	I/A federal grants transfers exp convers	E	59	589		FUEXP	FNDXFER						1	E		
589964	678	I/A other cash transfers exp conversion	E	59	589		FUEXP	FNDXFER						1	E		
59	87	Transfers, Conversion												0	E		
599500	679	Equipment Rents	E	59	589		BUEXP	CAPITAL						1	E		0
599600	680	WIP Buildings	E	59	589		BUEXP	CAPITAL						1	E		0
599620	681	WIP Improvements to Land	E	59	589		BUEXP	CAPITAL						1	E		0
599630	682	WIP Infrastructure	E	59	589		BUEXP	CAPITAL						1	E		0
60	88	Internal Cost Elements												0	E		
600	135	Internal Cost Elements												0	E		
601	136	Overheads												0	E		
601010	683	General Fund Overhead Passthrough	E	60	601		BUEXP	IMS						1	E		
601020	684	Bureau Overhead	E	60	601		BUEXP	IMS						1	E		
601021	685	Bureau Overhead - sys gen	E	60	601		BUEXP	IMS						1	E		
601030	686	Capitalized Overhead	E	60	601		BUEXP	IMS						1	E		
601031	687	Capitalized Overhead - sys gen	E	60	601		BUEXP	IMS						1	E		
609	137	Settlement - ???													E		
61	89	Labor Allocations												0	E		
610	138	Labor Allocations												0	E		
610010	688	Labor/Wages Allocation-Regular	E	61	610		BUEXP	PERSONAL						1	E		
610020	689	Labor/Wages Allocation-Overtime	E	61	610		BUEXP	PERSONAL						1	E		
610030	690	Labor/Wages Allocation-Premium	E	61	610		BUEXP	PERSONAL						1	E		
610040	691	Labor/Wages Allocation-Accrued Leave	E	60	601		BUEXP	PERSONAL						1	E		
610041	692	Labor/Wages Allocation-Accrued Leave - s	E	60	601		BUEXP	PERSONAL						1	E		
610510	693	Labor Alloc:BTS-Bureau Assigned	E	61	610		BUEXP	PERSONAL						1	E		
610520	694	Labor Alloc:BTS-Programs	E	61	610		BUEXP	PERSONAL						1	E		
610530	695	Labor Alloc:Billable Services	E	61	610		BUEXP	PERSONAL						1	E		
619	139	Labor Allocations													E		
619010	696	Labor:MMS Work Order-Regular	E	61	619		BUEXP	PERSONAL						1	E		
619020	697	Labor:MMS Work Order-Overtime and Premiu	E	61	619		BUEXP	PERSONAL						1	E		
619030	698	Labor: MMS-Overtime	E	61	619		BUEXP	PERSONAL						1	E		
619040	699	Labor: MMS-Premium Pay	E	61	619		BUEXP	PERSONAL						1	E		
62	90	Internal Allocations												0	E		
620	140	Equipment Allocations												0	E		
620010	700	"""Eq Use:Sedans, Vans, Mini Pick Ups"""	E	62	620		BUEXP	IMS						1	E		
620020	701	"""Eq Use:Dump,Svc,Flatbed,Full pickups"""	E	62	620		BUEXP	IMS						1	E		
620030	702	"""Eq Use:Excavtr,Dozer,Backhoe,Grader """	E	62	620		BUEXP	IMS						1	E		
620040	703	"""Eq Use:Pumps, Generators, Saws """	E	62	620		BUEXP	IMS						1	E		
629	141	Equipment Allocation: MMS												0	E		
629010	704	MMS Materials and Equipment Usage	E	62	629		BUEXP	IMS						1	E		0
629011	705	Bureau Services 1	E	62	629		BUEXP	IMS						1	E		0
629012	706	Bureau Services 2	E	62	629		BUEXP	IMS						1	E		0
629013	707	Bureau Services 3	E	62	629		BUEXP	IMS						1	E		0
629014	708	Bureau Services 4	E	62	629		BUEXP	IMS						1	E		0
629015	709	Bureau Services 5	E	62	629		BUEXP	IMS						1	E		0
64	13	Internal Revenues												0	R		
640	59	Cash Transfers												0	R		
640010	304	Gen Fund Overhead	R	64	640			FNDXFERS						1	R		
640020	305	Cash Transfer Revenues	R	64	640			FNDXFERS						1	R		
641	60	Internal Services Revenue												0	R		
6410	62	Miscellaneous Internal Services												0	R		
6411	63	CityFleet Services												0	R		
641101	306	Direct Bill Services	R	64	641	6411		IAREV						1	R		
641102	307	Fixed M&R (will go i	R	64	641	6411		IAREV						1	R		
641103	308	Accidents only	R	64	641	6411		IAREV						1	R		
641104	309	Non-Auto work orders	R	64	641	6411		IAREV						1	R		
641105	310	Generator R&M	R	64	641	6411		IAREV						1	R		
641106	311	Motor Pool	R	64	641	6411		IAREV						1	R		
641107	312	Outfitting: Equipmen	R	64	641	6411		IAREV						1	R		
641108	313	Fuel	R	64	641	6411		IAREV						1	R		
641109	314	Purchase of New Vehi	R	64	641	6411		IAREV						1	R		
641110	315	Vehicle Replacement	R	64	641	6411		IAREV						1	R		
641111	316	Replacement Admin- E	R	64	641	6411		IAREV						1	R		
641112	317	Leases	R	64	641	6411		IAREV						1	R		
641113	318	Short Rentals 1-2 da	R	64	641	6411		IAREV						1	R		
641114	319	Vehicle Upgrades	R	64	641	6411		IAREV						1	R		
641115	320	Fuel Station Debt Service	R	64	641	6411		IAREV						1	R		0
6412	64	Priniting & Distribution Services												0	R		
641201	321	Copy/Print/Bind	R	64	641	6412		IAREV						1	R		
641202	322	Pre-press	R	64	641	6412		IAREV						1	R		
641203	323	1900 Bldg Services	R	64	641	6412		IAREV						1	R		
641204	324	Copier Services	R	64	641	6412		IAREV						1	R		
641205	325	New & Replacement Co	R	64	641	6412		IAREV						1	R		
641206	326	Microfilm Services	R	64	641	6412		IAREV						1	R		
641207	327	Microfilm File Maint	R	64	641	6412		IAREV						1	R		
641208	328	Mail Sorting & Deliv	R	64	641	6412		IAREV						1	R		
641209	329	US Mail Processing	R	64	641	6412		IAREV						1	R		
641210	330	Postage	R	64	641	6412		IAREV						1	R		
641211	331	Special Delivery	R	64	641	6412		IAREV						1	R		
6413	65	Facilities Services												0	R		
641301	332	Space Rent	R	64	641	6413		IAREV						1	R		
641302	333	Other Services & Cha	R	64	641	6413		IAREV						1	R		
641303	334	ID Cards	R	64	641	6413		IAREV						1	R		
641304	335	Office Bldg Parking	R	64	641	6413		IAREV						1	R		
641305	336	Property Management	R	64	641	6413		IAREV						1	R		
641306	337	Project Management	R	64	641	6413		IAREV						1	R		
641307	338	Operations & Mainten	R	64	641	6413		IAREV						1	R		
6414	66	EBS Services													R		0
641401	339	EBS Ongoing Support	R	64	641	6414		IAREV						1	R		
641402	340	EBS Debt Service Project Financing	R	64	641	6414		IAREV						1	R		
641403	341	EBS New Functionality and enhancements	R	64	641	6414		IAREV						1	R		
6415	67	Technology Services												0	R		
641501	342	800 MHz Access	R	64	641	6415		IAREV						1	R		
641502	343	Radio & Video Equipm	R	64	641	6415		IAREV						1	R		
641503	344	IRNE Data Allocation	R	64	641	6415		IAREV						1	R		
641504	345	Telecomm Service	R	64	641	6415		IAREV						1	R		
641505	346	Business Lines	R	64	641	6415		IAREV						1	R		
641506	347	Data Lines	R	64	641	6415		IAREV						1	R		
641507	348	Long Distrance	R	64	641	6415		IAREV						1	R		
641508	349	Cellular Phones	R	64	641	6415		IAREV						1	R		
641509	350	Engineering Billable	R	64	641	6415		IAREV						1	R		
641510	351	Radio & Video Billab	R	64	641	6415		IAREV						1	R		
641511	352	Telecomm Billable	R	64	641	6415		IAREV						1	R		
641512	353	BTS Corporate Servic	R	64	641	6415		IAREV						1	R		
641513	354	Enterprise Server	R	64	641	6415		IAREV						1	R		
641514	355	Corporate Applicatio	R	64	641	6415		IAREV						1	R		
641520	356	E-mail	R	64	641	6415		IAREV						1	R		
641521	357	Internet Access	R	64	641	6415		IAREV						1	R		
641522	358	Desktop Support	R	64	641	6415		IAREV						1	R		
641523	359	Server Support	R	64	641	6415		IAREV						1	R		
641524	360	Data Networks	R	64	641	6415		IAREV						1	R		
641530	361	BTS Operations Billa	R	64	641	6415		IAREV						1	R		
641531	362	Operations Passthrou	R	64	641	6415		IAREV						1	R		
641532	363	Strategic Tech Billa	R	64	641	6415		IAREV						1	R		
641533	364	Strategic Tech Passt	R	64	641	6415		IAREV						1	R		
6416	68	Risk Management Services												0	R		
641601	365	Liability	R	64	641	6416		IAREV						1	R		
641602	366	Workers Compensation	R	64	641	6416		IAREV						1	R		
641603	367	Property Insurance	R	64	641	6416		IAREV						1	R		
641604	368	Commercial Insurance	R	64	641	6416		IAREV						1	R		
641605	369	Occup. Health & Infc	R	64	641	6416		IAREV						1	R		
641606	370	Flu Vaccinations	R	64	641	6416		IAREV						1	R		
642	61	Bureau Services Revenue												0	R		
6420	69	Miscellaneous Bureau Services												0	R		
6421	70	Planning and Sustainability Services												0	R		
642101	371	City Energy Challng	R	64	642	6421		IAREV						1	R		
642105	372	Green Incentive Fund	R	64	642	6421		IAREV						1	R		
642109	373	Inspection/Abatement	R	64	642	6421		IAREV						1	R		
642113	374	Negotiation Services	R	64	642	6421		IAREV						1	R		
642117	375	Neighborhood Cleanup	R	64	642	6421		IAREV						1	R		
642121	376	Outreach/Education	R	64	642	6421		IAREV						1	R		
642125	377	Permitting Services	R	64	642	6421		IAREV						1	R		
642129	378	Planning Services	R	64	642	6421		IAREV						1	R		
642133	379	Residential Siting	R	64	642	6421		IAREV						1	R		
6422	71	Administrative Services												0	R		
642201	380	Admin & Support	R	64	642	6422		IAREV						1	R		
642205	381	Council Office Svs	R	64	642	6422		IAREV						1	R		
642209	382	Document Imaging	R	64	642	6422		IAREV						1	R		
642213	383	Facilities Rental	R	64	642	6422		IAREV						1	R		
642217	384	Federal Representatn	R	64	642	6422		IAREV						1	R		
642221	385	Financial Services	R	64	642	6422		IAREV						1	R		
642225	386	GIS Services	R	64	642	6422		IAREV						1	R		
642229	387	Hearings Officer	R	64	642	6422		IAREV						1	R		
642233	388	Legal Services	R	64	642	6422		IAREV						1	R		
642237	389	Miscellaneous	R	64	642	6422		IAREV						1	R		
642241	390	Revenue Collection	R	64	642	6422		IAREV						1	R		
642245	391	Staffing Support	R	64	642	6422		IAREV						1	R		
642249	392	Training Services	R	64	642	6422		IAREV						1	R		
642253	393	Management Services	R	64	642	6422		IAREV						1	R		
6423	72	Parks Services												0	R		
642301	394	Equipment Services	R	64	642	6423		IAREV						1	R		
642305	395	Forestry Services	R	64	642	6423		IAREV						1	R		
642309	396	Horticultural Svs	R	64	642	6423		IAREV						1	R		
642313	397	Irrigation Services	R	64	642	6423		IAREV						1	R		
642317	398	Landscape/Grounds	R	64	642	6423		IAREV						1	R		
642321	399	Natural Area Maint	R	64	642	6423		IAREV						1	R		
642325	400	Pest Management	R	64	642	6423		IAREV						1	R		
642329	401	Turf Maintenance	R	64	642	6423		IAREV						1	R		
6424	73	Fire Services												0	R		
642401	402	Enhanced Safety Enfc	R	64	642	6424		IAREV						1	R		
642405	403	Home Security/Locks	R	64	642	6424		IAREV						1	R		
642409	404	Public Safety System	R	64	642	6424		IAREV						1	R		
642413	405	Pensions	R	64	642	6424		IAREV						1	R		
642417	406	Records Checks	R	64	642	6424		IAREV						1	R		
642421	407	RTW/Light Duty	R	64	642	6424		IAREV						1	R		
642425	408	Security Services	R	64	642	6424		IAREV						1	R		
642429	409	Special Rescue	R	64	642	6424		IAREV						1	R		
6425	74	Environmental Services												0	R		
642501	410	Construction Svcs	R	64	642	6425		IAREV						1	R		
642505	411	Coord Site Assess	R	64	642	6425		IAREV						1	R		
642509	412	Endangrd Species Act	R	64	642	6425		IAREV						1	R		
642513	413	Engineering Services	R	64	642	6425		IAREV						1	R		
642517	414	Laboratory Services	R	64	642	6425		IAREV						1	R		
642521	415	Material Testing	R	64	642	6425		IAREV						1	R		
642525	416	Meter Maintenance	R	64	642	6425		IAREV						1	R		
642529	417	Project/Constr Mgmt	R	64	642	6425		IAREV						1	R		
642533	418	Revegetation	R	64	642	6425		IAREV						1	R		
642537	419	Sampling/Monitoring	R	64	642	6425		IAREV						1	R		
642541	420	Utilities	R	64	642	6425		IAREV						1	R		
6426	75	Transportation and Maintenance Services												0	R		
642601	421	Contract Management	R	64	642	6426		IAREV						1	R		
642605	422	Electricl Maint Svcs	R	64	642	6426		IAREV						1	R		
642609	423	Green Str Proj Svcs	R	64	642	6426		IAREV						1	R		
642613	424	Parking Mgmt	R	64	642	6426		IAREV						1	R		
642617	425	Pkg Enforcement Svcs	R	64	642	6426		IAREV						1	R		
642621	426	Pkg Operation Svcs	R	64	642	6426		IAREV						1	R		
642625	427	Right of Way Svcs	R	64	642	6426		IAREV						1	R		
642629	428	Sewer Customer Resp	R	64	642	6426		IAREV						1	R		
642633	429	Sewer Insp & Clean	R	64	642	6426		IAREV						1	R		
642637	430	Sewer Repair	R	64	642	6426		IAREV						1	R		
642641	431	Space Rent	R	64	642	6426		IAREV						1	R		
642645	432	Stmwtr Customer Resp	R	64	642	6426		IAREV						1	R		
642649	433	Stmwtr Insp & Clean	R	64	642	6426		IAREV						1	R		
642650	434	Pollution Remediation Services	R	64	642	6426		IAREV						1	R		0
642653	435	Stormwater Repair	R	64	642	6426		IAREV						1	R		
642655	436	Street Patching	R	64	642	6426		IAREV						1	R		
642657	437	Streetlight Svcs	R	64	642	6426		IAREV						1	R		
642661	438	Structural Services	R	64	642	6426		IAREV						1	R		
642665	439	Sump Maintenance	R	64	642	6426		IAREV						1	R		
642669	440	Survey Services	R	64	642	6426		IAREV						1	R		
642673	441	Traffic Operations	R	64	642	6426		IAREV						1	R		
642677	442	Traffic Signal Svcs	R	64	642	6426		IAREV						1	R		
642681	443	Transp Options Svcs	R	64	642	6426		IAREV						1	R		
642685	444	Utility Locates	R	64	642	6426		IAREV						1	R		
642689	445	WrkZne Barricade Svs	R	64	642	6426		IAREV						1	R		
642693	446	WrkZne Traffc Review	R	64	642	6426		IAREV						1	R		
65	91	Services internal												0	E		
650	142	Cash Transfers												0	E		
650010	710	General Fund Overhead	E	65	650		FUEXP	FNDXFER						1	E		
650020	711	Cash transfer	E	65	650		FUEXP	FNDXFER						1	E		
651	143	Internal Services												0	E		
6511	145	CityFleet Services												0	E		
651101	712	Repair and maintenance services	E	65	651	6511	BUEXP	IMS						1	E		
651102	713	Fixed M&R	E	65	651	6511	BUEXP	IMS						1	E		
651103	714	Accident repairs	E	65	651	6511	BUEXP	IMS						1	E		
651104	715	Non-auto work orders	E	65	651	6511	BUEXP	IMS						1	E		
651105	716	Generator R&M	E	65	651	6511	BUEXP	IMS						1	E		
651106	717	Motor pool tickets	E	65	651	6511	BUEXP	IMS						1	E		
651107	718	Outfitting: Equipment & new vehicle	E	65	651	6511	BUEXP	IMS						1	E		
651108	719	Fuel	E	65	651	6511	BUEXP	IMS						1	E		
651109	720	Purchase of new vehicles	E	65	651	6511	BUEXP	IMS						1	E		
651110	721	Vehicle replacement	E	65	651	6511	BUEXP	IMS						1	E		
651111	722	Replacement admin - E's only	E	65	651	6511	BUEXP	IMS						1	E		
651112	723	Leases	E	65	651	6511	BUEXP	IMS						1	E		
651113	724	Short Rentals 1-2 days	E	65	651	6511	BUEXP	IMS						1	E		
651114	725	Vehicle upgrades	E	65	651	6511	BUEXP	IMS						1	E		
651115	726	Fuel Station Debt Service	E	65	651	6511	BUEXP	IMS						1	E		0
6512	146	Priniting & Distribution Services												0	E		
651201	727	Copy/Print/Bind	E	65	651	6512	BUEXP	IMS						1	E		
651202	728	Pre-press	E	65	651	6512	BUEXP	IMS						1	E		
651203	729	1900 Bldg Services	E	65	651	6512	BUEXP	IMS						1	E		
651204	730	Copier Services	E	65	651	6512	BUEXP	IMS						1	E		
651205	731	New & Replacement Copiers	E	65	651	6512	BUEXP	IMS						1	E		
651206	732	Microfilm Services	E	65	651	6512	BUEXP	IMS						1	E		
651207	733	Microfilm File Maintenance	E	65	651	6512	BUEXP	IMS						1	E		
651208	734	Mail Sorting & Delivery	E	65	651	6512	BUEXP	IMS						1	E		
651209	735	US Mail Processing	E	65	651	6512	BUEXP	IMS						1	E		
651210	736	Postage	E	65	651	6512	BUEXP	IMS						1	E		
651211	737	Special Delivery	E	65	651	6512	BUEXP	IMS						1	E		
6513	147	Facilities Services												0	E		
651301	738	Space Rent	E	65	651	6513	BUEXP	IMS						1	E		
651302	739	Other Services & Charges	E	65	651	6513	BUEXP	IMS						1	E		
651303	740	ID Cards	E	65	651	6513	BUEXP	IMS						1	E		
651304	741	Office Building Parking	E	65	651	6513	BUEXP	IMS						1	E		
651305	742	Property Management	E	65	651	6513	BUEXP	IMS						1	E		
651306	743	Project Management	E	65	651	6513	BUEXP	IMS						1	E		
651307	744	Operations & Maintenance	E	65	651	6513	BUEXP	IMS						1	E		
6514	148	EBS Services													E		0
651401	745	EBS Ongoing Support	E	65	651	6514	BUEXP	IMS						1	E		
651402	746	EBS Debt Service Project Financing	E	65	651	6514	BUEXP	IMS						1	E		
651403	747	EBS New Functionality and enhancements	E	65	651	6514	BUEXP	IMS						1	E		
6515	149	Technology Services												0	E		
651501	748	800 MHz Access	E	65	651	6515	BUEXP	IMS						1	E		
651502	749	Radio & Video Equipment	E	65	651	6515	BUEXP	IMS						1	E		
651503	750	IRNE Data Allocation	E	65	651	6515	BUEXP	IMS						1	E		
651504	751	Telecomm Service	E	65	651	6515	BUEXP	IMS						1	E		
651505	752	Business Lines	E	65	651	6515	BUEXP	IMS						1	E		
651506	753	Data Lines	E	65	651	6515	BUEXP	IMS						1	E		
651507	754	Long Distance	E	65	651	6515	BUEXP	IMS						1	E		
651508	755	Cellular Phones	E	65	651	6515	BUEXP	IMS						1	E		
651509	756	Engineering Billable	E	65	651	6515	BUEXP	IMS						1	E		
651510	757	Radio & Video Billable	E	65	651	6515	BUEXP	IMS						1	E		
651511	758	Telecomm Billable	E	65	651	6515	BUEXP	IMS						1	E		
651512	759	BTS Corporate Services	E	65	651	6515	BUEXP	IMS						1	E		
651513	760	Enterprise Server	E	65	651	6515	BUEXP	IMS						1	E		
651514	761	Corporate Applications	E	65	651	6515	BUEXP	IMS						1	E		
651520	762	E-mail	E	65	651	6515	BUEXP	IMS						1	E		
651521	763	Internet Access	E	65	651	6515	BUEXP	IMS						1	E		
651522	764	Desktop Support	E	65	651	6515	BUEXP	IMS						1	E		
651523	765	Server Support	E	65	651	6515	BUEXP	IMS						1	E		
651524	766	Data Networks	E	65	651	6515	BUEXP	IMS						1	E		
651530	767	BTS Operations Billable	E	65	651	6515	BUEXP	IMS						1	E		
651531	768	Operations Passthrough	E	65	651	6515	BUEXP	IMS						1	E		
651532	769	Strategic Technology Billable	E	65	651	6515	BUEXP	IMS						1	E		
651533	770	Strategic Technology Passthrough	E	65	651	6515	BUEXP	IMS						1	E		
6516	150	Risk Management Services												0	E		
651601	771	Liability Insurance and Claims	E	65	651	6516	BUEXP	IMS						1	E		
651602	772	Workers Compensation	E	65	651	6516	BUEXP	IMS						1	E		
651603	773	Property Insurance	E	65	651	6516	BUEXP	IMS						1	E		
651604	774	Commercial Insurance	E	65	651	6516	BUEXP	IMS						1	E		
651605	775	Occupational Health & Infectious Disease	E	65	651	6516	BUEXP	IMS						1	E		
651606	776	Flu Vaccinations	E	65	651	6516	BUEXP	IMS						1	E		
652	144	Interagency Services												0	E		
6521	151	Planning and Sustainability Services												0	E		
652101	777	City Energy Challenge	E	65	652	6521	BUEXP	IMS						1	E		
652105	778	Green Incentive Fund	E	65	652	6521	BUEXP	IMS						1	E		
652109	779	Inspection/Abatement Services	E	65	652	6521	BUEXP	IMS						1	E		
652113	780	Negotiation Services	E	65	652	6521	BUEXP	IMS						1	E		
652117	781	Neighborhood Cleanup	E	65	652	6521	BUEXP	IMS						1	E		
652121	782	Outreach and Education Services	E	65	652	6521	BUEXP	IMS						1	E		
652125	783	Permitting Services	E	65	652	6521	BUEXP	IMS						1	E		
652129	784	Planning Services	E	65	652	6521	BUEXP	IMS						1	E		
652133	785	Community Residential Siting	E	65	652	6521	BUEXP	IMS						1	E		
6522	152	Administrative Services												0	E		
652201	786	Administration & Support Services	E	65	652	6522	BUEXP	IMS						1	E		
652205	787	Council Office Services	E	65	652	6522	BUEXP	IMS						1	E		
652209	788	Document Imaging	E	65	652	6522	BUEXP	IMS						1	E		
652213	789	Facilities Rental	E	65	652	6522	BUEXP	IMS						1	E		
652217	790	Federal Representation	E	65	652	6522	BUEXP	IMS						1	E		
652221	791	Financial Services	E	65	652	6522	BUEXP	IMS						1	E		
652225	792	GIS Services	E	65	652	6522	BUEXP	IMS						1	E		
652229	793	Hearings Officer Services	E	65	652	6522	BUEXP	IMS						1	E		
652233	794	Legal Services	E	65	652	6522	BUEXP	IMS						1	E		
652237	795	Miscellaneous Services	E	65	652	6522	BUEXP	IMS						1	E		
652241	796	Revenue Collection Services	E	65	652	6522	BUEXP	IMS						1	E		
652245	797	Staffing Support	E	65	652	6522	BUEXP	IMS						1	E		
652249	798	Training Services	E	65	652	6522	BUEXP	IMS						1	E		
652253	799	Management Services	E	65	652	6522	BUEXP	IMS						1	E		
6523	153	Parks Services												0	E		
652301	800	Equipment Services	E	65	652	6523	BUEXP	IMS						1	E		
652305	801	Forestry Services	E	65	652	6523	BUEXP	IMS						1	E		
652309	802	Horticultural Services	E	65	652	6523	BUEXP	IMS						1	E		
652313	803	Irrigation Services	E	65	652	6523	BUEXP	IMS						1	E		
652317	804	Landscaping/Grounds Maintenance	E	65	652	6523	BUEXP	IMS						1	E		
652321	805	Natural Area Maintenance	E	65	652	6523	BUEXP	IMS						1	E		
652325	806	Pest Management Program	E	65	652	6523	BUEXP	IMS						1	E		
652329	807	Turf Maintenance/Mowing	E	65	652	6523	BUEXP	IMS						1	E		
6524	154	Fire Services												0	E		
652401	808	Enhanced Safety Enforcement	E	65	652	6524	BUEXP	IMS						1	E		
652405	809	Home Security/Locks	E	65	652	6524	BUEXP	IMS						1	E		
652409	810	Public Safety Systems	E	65	652	6524	BUEXP	IMS						1	E		
652413	811	Pensions	E	65	652	6524	BUEXP	IMS						1	E		
652417	812	Records Checks	E	65	652	6524	BUEXP	IMS						1	E		
652421	813	Return to Work/Light Duty	E	65	652	6524	BUEXP	IMS						1	E		
652425	814	Security Services	E	65	652	6524	BUEXP	IMS						1	E		
652429	815	Special Rescue Services	E	65	652	6524	BUEXP	IMS						1	E		
6525	155	Environmental Services												0	E		
652501	816	Construction Services	E	65	652	6525	BUEXP	IMS						1	E		
652505	817	Coordinated Site Assessment	E	65	652	6525	BUEXP	IMS						1	E		
652509	818	Endangered Species Act	E	65	652	6525	BUEXP	IMS						1	E		
652513	819	Engineering Services	E	65	652	6525	BUEXP	IMS						1	E		
652517	820	Laboratory Services	E	65	652	6525	BUEXP	IMS						1	E		
652521	821	Material Testing Services	E	65	652	6525	BUEXP	IMS						1	E		
652525	822	Meter Maintenance	E	65	652	6525	BUEXP	IMS						1	E		
652529	823	Project/Construction Management	E	65	652	6525	BUEXP	IMS						1	E		
652533	824	Watershed Revegetation Services	E	65	652	6525	BUEXP	IMS						1	E		
652537	825	Sampling and Monitoring	E	65	652	6525	BUEXP	IMS						1	E		
652541	826	Utilities	E	65	652	6525	BUEXP	IMS						1	E		
6526	156	Transportation and Maintenance Services												0	E		
652601	827	Contract Management	E	65	652	6526	BUEXP	IMS						1	E		
652605	828	Electrical Maintenance Services	E	65	652	6526	BUEXP	IMS						1	E		
652609	829	Green Street Project Services	E	65	652	6526	BUEXP	IMS						1	E		
652613	830	Parking Management Services	E	65	652	6526	BUEXP	IMS						1	E		
652617	831	Parking Enforcement Services	E	65	652	6526	BUEXP	IMS						1	E		
652621	832	Parking Operation Services	E	65	652	6526	BUEXP	IMS						1	E		
652625	833	Right of Way Services	E	65	652	6526	BUEXP	IMS						1	E		
652629	834	Sewer Customer Response	E	65	652	6526	BUEXP	IMS						1	E		
652633	835	Sewer Inspection & Cleaning	E	65	652	6526	BUEXP	IMS						1	E		
652637	836	Sewer Repair	E	65	652	6526	BUEXP	IMS						1	E		
652641	837	Space Rent	E	65	652	6526	BUEXP	IMS						1	E		
652645	838	Drainage Customer Response	E	65	652	6526	BUEXP	IMS						1	E		
652649	839	Drainage Inspection & Cleaning	E	65	652	6526	BUEXP	IMS						1	E		
652650	840	Pollution Remediation Services	E	65	652	6526	BUEXP	IMS						1	E		0
652653	841	Drainage Repair	E	65	652	6526	BUEXP	IMS						1	E		
652655	842	Street Patching	E	65	652	6526	BUEXP	IMS						1	E		
652657	843	Streetlight Services	E	65	652	6526	BUEXP	IMS						1	E		
652661	844	Structural Services	E	65	652	6526	BUEXP	IMS						1	E		
652665	845	Sump Maintenance	E	65	652	6526	BUEXP	IMS						1	E		
652669	846	Survey Services	E	65	652	6526	BUEXP	IMS						1	E		
652673	847	Traffic Operations Services	E	65	652	6526	BUEXP	IMS						1	E		
652677	848	Traffic Signal Services	E	65	652	6526	BUEXP	IMS						1	E		
652681	849	Transportation Options Services	E	65	652	6526	BUEXP	IMS						1	E		
652685	850	Utility locates	E	65	652	6526	BUEXP	IMS						1	E		
652689	851	Work Zone Barricade Services	E	65	652	6526	BUEXP	IMS						1	E		
652693	852	Work Zone Traffic Control Review	E	65	652	6526	BUEXP	IMS						1	E		
BEGBAL	861	Budgeted Beginning Fund Balance												0	R		
BNDNT	868	Bond and Note Proceeds												0	R		
BOND	858	Debt Service												0	E		
BUEXP	877	Bureau Expense												0	E		
CAPITAL	857	Capital Outlay												0	E		
CONT	860	Contingency												0	E		
DIFF	886	Difference												0	E		
E	76	Expenses												0	E		
EMS	855	External Materials and Services												0	E		
ENDBAL	853	Unappropriated Fund Balance												0	E		
FNDXFER	859	Fund Transfers - Expense												0	E		
FNDXFERS	867	Fund Transfers - Revenue												0	R		
FTE_FT	872	Full-Time Positions	FTE_TOT											1	E		
FTE_LT	874	Limited Term Positions	FTE_TOT											1	E		
FTE_PT	873	Part-Time Positions	FTE_TOT											1	E		
